"id","country:id","name","code","bic"
"bank_hr_6717002","base.hr","A ŠTEDNA BANKA MALOG PODUZETNIŠTVA d.d. Zagreb",6717002,"ASBZ HR 22"
"bank_hr_4115008","base.hr","BANCO POPOLARE CROATIA d.d. Zagreb",4115008,"BPCR HR 22"
"bank_hr_4124003","base.hr","BANKA BROD d.d. Slavonski Brod",4124003,"BBRD HR 22"
"bank_hr_4133006","base.hr","BANKA KOVANICA d.d. Varaždin",4133006,"SKOV HR 22 "
"bank_hr_4109006","base.hr","BANKA SPLITSKO-DALMATINSKA d.d. Split",4109006,"DALM HR 22"
"bank_hr_2488001","base.hr","BKS BANK d.d. Rijeka",2488001,"BFKK HR 22"
"bank_hr_2382001","base.hr","CENTAR BANKA d.d. Zagreb",2382001,"CBZG HR 2X"
"bank_hr_2491005","base.hr","CREDO BANKA d.d. Split",2491005,"CDBS HR 22"
"bank_hr_2485003","base.hr","CROATIA BANKA d.d. Zagreb",2485003,"CROA HR 2X"
"bank_hr_2402006","base.hr","ERSTE & STEIERMÄRKISCHE BANK d.d. Rijeka",2402006,"ESBC HR 22"
"bank_hr_2493003","base.hr","HRVATSKA BANKA ZA OBNOVU I RAZVITAK Zagreb",2493003,"HKBO HR 2X"
"bank_hr_1001005","base.hr","HRVATSKA NARODNA BANKA ",1001005,"NBHR HR 2D "
"bank_hr_2390001","base.hr","HRVATSKA POŠTANSKA BANKA d.d. Zagreb",2390001,"HPBZ HR 2X"
"bank_hr_2500009","base.hr","HYPO  ALPE-ADRIA-BANK  d.d. Zagreb",2500009,"HAAB HR 22"
"bank_hr_2492008","base.hr","IMEX BANKA d.d. Split",2492008,"IMXX HR 22"
"bank_hr_2380006","base.hr","ISTARSKA KREDITNA BANKA UMAG d.d. Umag",2380006,"ISKB HR 2X"
"bank_hr_2411006","base.hr","JADRANSKA BANKA d.d. Šibenik",2411006,"JADR HR 2X"
"bank_hr_2400008","base.hr","KARLOVAČKA BANKA d.d. Karlovac",2400008,"KALC HR 2X"
"bank_hr_2481000","base.hr","KREDITNA BANKA ZAGREB d.d. Zagreb",2481000,"KREZ HR 2X"
"bank_hr_2392007","base.hr","ME?IMURSKA BANKA d.d. ?akovec",2392007,"MBCK HR 2X"
"bank_hr_2495009","base.hr","NAVA BANKA d.d. Zagreb",2495009,"NAVB HR 22"
"bank_hr_6716000","base.hr","OBRTNIČKA ŠTEDNA BANKA d.d. Zagreb",6716000,"OBAN HR 22"
"bank_hr_2407000","base.hr","OTP BANKA HRVATSKA  d.d. Zadar",2407000,"OTPV HR 2X"
"bank_hr_2408002","base.hr","PARTNER BANKA d.d. Zagreb",2408002,"PAZG HR 2X"
"bank_hr_2386002","base.hr","PODRAVSKA BANKA d.d. Koprivnica",2386002,"PDKC HR 2X"
"bank_hr_4132003","base.hr","PRIMORSKA BANKA d.d. Rijeka",4132003,"SPRM HR 22"
"bank_hr_2340009","base.hr","PRIVREDNA BANKA ZAGREB d.d. Zagreb",2340009,"PBZG HR 2X"
"bank_hr_2484008","base.hr","RAIFFEISENBANK AUSTRIA d.d. Zagreb",2484008,"RZBH HR 2X"
"bank_hr_2403009","base.hr","SAMOBORSKA BANKA d.d. Samobor",2403009,"SMBR HR 22"
"bank_hr_2412009","base.hr","SLATINSKA BANKA d.d. Slatina",2412009,"SBSL HR 2X"
"bank_hr_2330003","base.hr","SOCIETE GENERALE- SPLITSKA BANKA d.d. Split",2330003,"SOGE HR 22 "
"bank_hr_2483005","base.hr","ŠTEDBANKA d.d. Zagreb",2483005,"STED HR 22"
"bank_hr_2489004","base.hr","VABA  d.d. BANKA Varaždin",2489004,"VBVZ HR 22"
"bank_hr_2381009","base.hr","VENETO BANKA d.d.. Zagreb",2381009,"CCBZ HR 2X"
"bank_hr_2503007","base.hr","VOLKSBANK d.d. Zagreb",2503007,"VBCR HR 22"
"bank_hr_2360000","base.hr","ZAGREBAČKA BANKA d.d. Zagreb",2360000,"ZABA HR 2X"
