kljuc;naziv
0;POTRAŽIVANJA ZA UPISANI KAPITAL I DUGOTRAJNA IMOVINA
00;POTRAŽIVANJA ZA UPISANI A NEUPLAÆENI KAPITAL
000;Potraživanja za upisani a neuplaæeni dionièki kapital (analitika po upisnicima)
001;Potraživanja iz ponovljene emisije dionica za upisane a neuplaæene svote kapitala (razrada po emisijama dionica)
002;Potraživanja za upisani a neuplaæeni kapital u d.o.o. (analitika po èlanovima društva)
003;Potraživanja za temeljni ulog komanditora
004;Potraživanje za ostale uloge u kapital
01;NEMATERIJALNA IMOVINA
010;Izdatci za razvoj
0100;Izdatci za razvoj projekta (konstruiranje i testiranje prototipova i modela, dizajn alata, naprava i kalupa i sl.
0101;Izdatci za razvoj proizvoda (uzorci, recepture, troškovi pronalazaka i sl.).
0102;Izdatci za istraživanje mineralnih blaga (MSFI 6)
011;Koncesije, patenti, licencije, robne i uslužne marke
0110;Ulaganje u koncesije (za resurse, ceste, ribarenje, linije, sirovine, itd.)
0111;Ulaganje u patente i tehnologiju, inovacije, tehnièku i tehnološku dokumentaciju za proizvodnju proizvoda ili pružanje usluga
0112;Ulaganje u licenciju i frenèajz (Franchising)
0113;Robne marke, trgovaèko ime, lista kupaca, industrijska prava, marketinška prava, uslužne marke i sl. prava
0114;Ulaganje u tržišni udio (otkup prava distribucije za neko podruèje)
012;Softver i ostala prava
0120;Softwer
01200;Ulaganje u raèunalni softwer
01201;Ulaganje u internetske stranice
0121;Ostala dugotrajna prava
01210;Ulaganje u autorska i dr. prava korištenja
01211;Ulaganje u znanje (know how), dizajn
01212;Ulaganje u pravo reproduciranja (npr. filmova), pravo objave u izdavaštvu i sl.
01213;Ulaganja na tuðoj imovini radi uporabe ili poboljšanja (nekretnina, opreme i sl.)
01214;Ulaganje u dugogodišnje pravo uporabe (prema ugovoru)
01215;Ulaganje u pravo suvlasništva opreme
0122;Ostala prava
01220;Založno pravo i hipoteke (realizirane)
01221;Ostala dugogodišnja prava
013;Goodwill
0130;Goodwill
014;Ostala nematerijalna imovina
0140;Dugogodišnje naknade plaæene za pravo graðenja, pravo prolaza i sl.
0141;Filmovi, glazbeni zapisi
0142;Ostala nematerijalna imovina
015;Predujmovi za nabavu nematerijalne imovine
0150;Predujmovi za razvoj
0151;Predujmovi za koncesije
0152;Predujmovi za patente, licencije i dr.
0153;Predujmovi za robne ili uslužne marke
0154;Predujmovi za nabavu softwera
0155;Predujmovi za nabavu ostalih prava uporabe
0156;Predujmovi za ostalu nematerijalnu imovinu
016;Nematerijalna imovina u pripremi (analitika prema vrsti raèuna skupine 01)
018;Vrijednosno usklaðenje nematerijalne imovine (analitika prema vrsti raèuna skupine 01)
019;Akumulirana amortizacija nematerijalne imovine
0190;Akumulirana amortizacija izdataka za razvoj
0191;Akumulirana amortizacija koncesija, patenata, licencija i sl.
0192;Akumulirana amort. robne i uslužne marke
0193;Akumulirana amortizacija softwera
0194;Akumulirana amortizacija godwilla (v. napom. 3.)
0195;Akumulirana amort. ostale nematerijalne imovine
02;MATERIJALNA IMOVINA - NEKRETNINE
020;Zemljišta
0200;Graðevinsko zemljište (bez zgrada)
0201;Poljoprivredno zemljište
0202;Zemljište za deponije smeæa i otpada
0203;Zemljište za eksploataciju kamena, gline, šljunka i pijeska,
0204;Zemljište sa supstancijalnom potrošnjom ili odlagališta
0205;Zemljište pod prometnicama, dvorištima, parkiralištima i sl.
0206;Zemljišta pod dugogodišnjim nasadama, parkovima, vrtovima i sl.
0207;Èista neobraðena i nezasaðena zemljišta i kamenjari
0208;Zemljišta ispod graðevina
0209;Poboljšanja na zemljištu (ulaganja u odvodnjavanje, ureðivanje prilaza i sl.)
021;Zemljišna prava (višegodišnja)
0210;Zemljište s upisanim pravom graðenja (unaprijed plaæena)
0211;Pravo služnosti na zemljištu (unaprijed plaæena)
0212;Zemljišta u zakupu (unaprijed plaæena)
023;Graðevinski objekti (za vlastite potrebe)
0230;Poslovne zgrade
0231;Tvornièke zgrade, hale i radionice
0232;Zgrade trgovine, hotela, motela, restorana
0233;Skladišta, silosi, nadstrešnice i garaže, staklenici, sušionice, hladnjaèe
0234;Zgrade montažne, barake, mostovi, drvene konstrukcije i sl.
0235;Ograde (betonske, kamene, metalne i sl.), izlozi, potporni zidovi - brane, športski tereni, šatori, žièare i sl.
0236;Putovi, parkirališta, staze i dr. graðevine (rampe i sl.), nadvožnjaci i dr. betonske ili metalne konstrukcije
0237;Cjevovodi, vodospremnici, utvrðene obale, kanali, kanalizacija, dalekovodi
0238;Objekti poljoprivrede i ribarstva
0239;Ostali nespomenuti graðevinski objekti (rudnici, brane) i objekti izvan uporabe
024;Stanovi za vlastite zaposlenike
026;Predujmovi za nabavu nekretnina
0260;Predujmovi za nabavu zemljišta
0261;Predujmovi za graðevine u nabavi
027;Nekretnine u pripremi
0270;Zemljišta u pripremi
0271;Graðevine u pripremi
028;Vrijednosno usklaðenje nekretnina
0280;Vrijednosno usklaðenje zemljišta
0281;Vrijednosno usklaðenje graðevina
029;Akumulirana amortizacija graðevina
0290;Akumulirana amortizacija graðevina (analitika prema pojedinim graðevinama)
