"id";"parent_id:id";"code";"name";"type";;;;"le";"description"
"kp_rrif";;;"KONTNI PLAN";;;;;;
"kp_rrif_0";"kp_rrif";"0";"POTRAŽIVANJA ZA UPISANI KAPITAL I DUGOTRAJNA IMOVINA";"view";1;;;52;
"kp_rrif_00";"kp_rrif_0";"00";"POTRAŽIVANJA ZA UPISANI A NEUPLAÆENI KAPITAL";"view";2;;;44;
"kp_rrif_000";"kp_rrif_00";"000";"Potraživanja za upisani a neuplaæeni dionièki kapital (analitika po upisnicima)";"view";3;;;79;
"kp_rrif_001";"kp_rrif_00";"001";"Potraživanja iz ponovljene emisije dionica za upisane a neuplaæene svote kapitala po emisijama dionica";"view";3;;;102;"Potraživanja iz ponovljene emisije dionica za upisane a neuplaæene svote kapitala (razrada po emisijama dionica)"
"kp_rrif_002";"kp_rrif_00";"002";"Potraživanja za upisani a neuplaæeni kapital u d.o.o. (analitika po èlanovima društva)";"view";3;;;86;
"kp_rrif_003";"kp_rrif_00";"003";"Potraživanja za temeljni ulog komanditora";"view";3;;;41;
"kp_rrif_004";"kp_rrif_00";"004";"Potraživanje za ostale uloge u kapital";"view";3;;;38;
"kp_rrif_01";"kp_rrif_0";"01";"NEMATERIJALNA IMOVINA";"view";2;;;21;
"kp_rrif_010";"kp_rrif_01";"010";"Izdatci za razvoj";"view";3;;;17;
"kp_rrif_0100";"kp_rrif_010";"0100";"Izdatci za razvoj projekta (konstruiranje i test. prototipova i modela,alata,naprava i kalupa i sl.";"view";4;;;99;"Izdatci za razvoj projekta (konstruiranje i testiranje prototipova i modela, dizajn alata, naprava i kalupa i sl."
"kp_rrif_0101";"kp_rrif_010";"0101";"Izdatci za razvoj proizvoda (uzorci, recepture, troškovi pronalazaka i sl.).";"view";4;;;76;
"kp_rrif_0102";"kp_rrif_010";"0102";"Izdatci za istraživanje mineralnih blaga (MSFI 6)";"view";4;;;49;
"kp_rrif_011";"kp_rrif_01";"011";"Koncesije, patenti, licencije, robne i uslužne marke";"view";3;;;52;
"kp_rrif_0110";"kp_rrif_011";"0110";"Ulaganje u koncesije (za resurse, ceste, ribarenje, linije, sirovine, itd.)";"view";4;;;75;
"kp_rrif_0111";"kp_rrif_011";"0111";"Ulaganje u patente i tehnologiju, inovacije, teh.dokumentaciju za proizv. proizvoda ili pružanje usluga";"view";4;;;103;"Ulaganje u patente i tehnologiju, inovacije, tehnièku i tehnološku dokumentaciju za proizvodnju proizvoda ili pružanje usluga"
"kp_rrif_0112";"kp_rrif_011";"0112";"Ulaganje u licenciju i frenèajz (Franchising)";"view";4;;;45;
"kp_rrif_0113";"kp_rrif_011";"0113";"Robne marke, trgovaèko ime, lista kupaca, industrijska prava, marketinška prava, usl. marke i sl.prava";"view";4;;;102;"Robne marke, trgovaèko ime, lista kupaca, industrijska prava, marketinška prava, uslužne marke i sl. prava"
"kp_rrif_0114";"kp_rrif_011";"0114";"Ulaganje u tržišni udio (otkup prava distribucije za neko podruèje)";"view";4;;;67;
"kp_rrif_012";"kp_rrif_01";"012";"Softver i ostala prava";"view";3;;;22;
"kp_rrif_0120";"kp_rrif_012";"0120";"Softwer";"view";4;;;7;
"kp_rrif_01200";"kp_rrif_0120";"01200";"Ulaganje u raèunalni softwer";"other";5;;;28;
"kp_rrif_01201";"kp_rrif_0120";"01201";"Ulaganje u internetske stranice";"other";5;;;31;
"kp_rrif_0121";"kp_rrif_012";"0121";"Ostala dugotrajna prava";"view";4;;;23;
"kp_rrif_01210";"kp_rrif_0121";"01210";"Ulaganje u autorska i dr. prava korištenja";"other";5;;;42;
"kp_rrif_01211";"kp_rrif_0121";"01211";"Ulaganje u znanje (know how), dizajn";"other";5;;;36;
"kp_rrif_01212";"kp_rrif_0121";"01212";"Ulaganje u pravo reproduciranja (npr. filmova), pravo objave u izdavaštvu i sl.";"other";5;;;79;
"kp_rrif_01213";"kp_rrif_0121";"01213";"Ulaganja na tuðoj imovini radi uporabe ili poboljšanja (nekretnina, opreme i sl.)";"other";5;;;81;
"kp_rrif_01214";"kp_rrif_0121";"01214";"Ulaganje u dugogodišnje pravo uporabe (prema ugovoru)";"other";5;;;53;
"kp_rrif_01215";"kp_rrif_0121";"01215";"Ulaganje u pravo suvlasništva opreme";"other";5;;;36;
"kp_rrif_0122";"kp_rrif_012";"0122";"Ostala prava";"view";4;;;12;
"kp_rrif_01220";"kp_rrif_0122";"01220";"Založno pravo i hipoteke (realizirane)";"other";5;;;38;
"kp_rrif_01221";"kp_rrif_0122";"01221";"Ostala dugogodišnja prava";"other";5;;;25;
"kp_rrif_013";"kp_rrif_01";"013";"Goodwill";"view";3;;;8;
