"code","name","note"
,"KONTNI PLAN",
"0","POTRAŽIVANJA ZA UPISANI KAPITAL I DUGOTRAJNA IMOVINA","POTRAŽIVANJA ZA UPISANI KAPITAL I DUGOTRAJNA IMOVINA"
"00","POTRAŽIVANJA ZA UPISANI A NEUPLAĆENI KAPITAL","POTRAŽIVANJA ZA UPISANI A NEUPLAĆENI KAPITAL"
"000","Potraživanja za upisani a neuplaćeni dionički kapital (analitika po upisnicima)","Potraživanja za upisani a neuplaćeni dionički kapital (analitika po upisnicima)"
"001","Potraživanja iz ponovljene emisije dionica za upisane a neuplaćene svote kapitala po emisijama dionica","Potraživanja iz ponovljene emisije dionica za upisane a neuplaćene svote kapitala (razrada po emisijama dionica)"
"002","Potraživanja za upisani a neuplaćeni kapital u d.o.o. (analitika po članovima društva)","Potraživanja za upisani a neuplaćeni kapital u d.o.o. (analitika po članovima društva)"
"003","Potraživanja za temeljni ulog komanditora","Potraživanja za temeljni ulog komanditora"
"004","Potraživanje za ostale uloge u kapital","Potraživanje za ostale uloge u kapital"
"01","NEMATERIJALNA IMOVINA","NEMATERIJALNA IMOVINA"
"010","Izdatci za razvoj","Izdatci za razvoj"
"0100","Izdatci za razvoj projekta (konstruiranje i test. prototipova i modela,alata,naprava i kalupa i sl.","Izdatci za razvoj projekta (konstruiranje i testiranje prototipova i modela, dizajn alata, naprava i kalupa i sl."
"0101","Izdatci za razvoj proizvoda (uzorci, recepture, troškovi pronalazaka i sl.).","Izdatci za razvoj proizvoda (uzorci, recepture, troškovi pronalazaka i sl.)."
"0102","Izdatci za istraživanje mineralnih blaga (MSFI 6)","Izdatci za istraživanje mineralnih blaga (MSFI 6)"
"011","Koncesije, patenti, licencije, robne i uslužne marke","Koncesije, patenti, licencije, robne i uslužne marke"
"0110","Ulaganje u koncesije (za resurse, ceste, ribarenje, linije, sirovine, itd.)","Ulaganje u koncesije (za resurse, ceste, ribarenje, linije, sirovine, itd.)"
"0111","Ulaganje u patente i tehnologiju, inovacije, teh.dokumentaciju za proizv. proizvoda ili pružanje usluga","Ulaganje u patente i tehnologiju, inovacije, tehničku i tehnološku dokumentaciju za proizvodnju proizvoda ili pružanje usluga"
"0112","Ulaganje u licenciju i frenčajz (Franchising)","Ulaganje u licenciju i frenčajz (Franchising)"
"0113","Robne marke, trgovačko ime, lista kupaca, industrijska prava, marketinška prava, usl. marke i sl.prava","Robne marke, trgovačko ime, lista kupaca, industrijska prava, marketinška prava, uslužne marke i sl. prava"
"0114","Ulaganje u tržišni udio (otkup prava distribucije za neko područje)","Ulaganje u tržišni udio (otkup prava distribucije za neko područje)"
"012","Softver i ostala prava","Softver i ostala prava"
"0120","Softwer","Softwer"
"01200","Ulaganje u računalni softwer","Ulaganje u računalni softwer"
"01201","Ulaganje u internetske stranice","Ulaganje u internetske stranice"
"0121","Ostala dugotrajna prava","Ostala dugotrajna prava"
"01210","Ulaganje u autorska i dr. prava korištenja","Ulaganje u autorska i dr. prava korištenja"
